id,post_id,term_id,taxonomy,created_at,updated_at,blog_id
64,6046,137,trekking-types,"2025-01-21 18:01:28","2026-07-04 02:07:32",1
67,6053,137,trekking-types,"2025-01-21 18:42:07","2026-07-01 12:50:17",1
70,6061,136,trekking-types,"2025-01-22 05:34:40","2026-07-26 06:46:17",1
71,6064,136,trekking-types,"2025-01-22 05:45:51","2026-07-04 05:17:05",1
77,6089,136,trekking-types,"2025-01-22 06:39:23","2026-07-28 06:30:53",1
82,6099,135,trekking-types,"2025-01-22 07:05:15","2026-07-04 03:26:15",1
83,6101,135,trekking-types,"2025-01-22 07:09:32","2026-07-04 02:25:23",1
84,6103,135,trekking-types,"2025-01-22 07:18:19","2026-07-04 02:19:15",1
143,7561,135,trekking-types,"2025-03-07 06:40:43","2026-07-01 13:13:27",1
144,7566,136,trekking-types,"2025-03-07 06:49:21","2026-07-27 17:59:33",1
170,8959,135,trekking-types,"2025-05-29 04:59:36","2026-07-26 17:14:27",1
171,8961,135,trekking-types,"2025-05-29 07:16:09","2026-07-26 16:55:27",1
172,8963,137,trekking-types,"2025-05-29 07:33:34","2026-07-01 12:35:26",1
173,8964,135,trekking-types,"2025-05-29 07:34:35","2026-07-28 16:48:44",1
178,10509,136,trekking-types,"2025-09-03 06:00:27","2026-07-27 05:04:27",1
183,14133,161,trekking-types,"2026-02-06 11:46:37","2026-07-26 06:33:18",1
184,14535,137,trekking-types,"2026-02-13 09:32:32","2026-06-25 01:01:58",1
202,14105,135,trekking-types,"2026-03-08 10:24:04","2026-07-26 17:33:08",1
203,14794,162,trekking-types,"2026-03-10 07:31:50","2026-06-21 02:00:48",1
204,14796,161,trekking-types,"2026-03-10 09:44:43","2026-07-26 06:43:55",1
205,14799,161,trekking-types,"2026-03-10 10:34:22","2026-08-09 15:56:11",1
206,6019,163,trekking-types,"2026-03-11 06:25:12","2026-07-01 13:07:06",1
207,14801,165,trekking-types,"2026-03-11 07:08:22","2026-07-26 06:42:29",1
208,14804,164,trekking-types,"2026-03-11 10:11:59","2026-07-26 06:41:11",1
215,6030,135,trekking-types,"2026-03-13 12:47:18","2026-07-01 12:54:53",1
237,11546,136,trekking-types,"2026-06-01 09:51:15","2026-07-01 12:29:08",1
238,14886,136,trekking-types,"2026-06-02 05:51:23","2026-07-27 17:31:40",1
239,14897,162,trekking-types,"2026-06-02 06:59:25","2026-07-26 06:39:55",1
242,15182,136,trekking-types,"2026-07-25 13:36:14","2026-07-26 16:44:30",1
243,15355,136,trekking-types,"2026-07-31 15:27:12","2026-08-17 20:12:40",1
244,14977,137,trekking-types,"2026-08-11 08:20:08","2026-08-11 08:20:08",1
