id,url,post_id,target_post_id,type,indexable_id,target_indexable_id,height,width,size,language,region
7923,https://en.wikipedia.org/wiki/Mount_Everest,10509,,external,776,,,,,,
8015,https://everpeakadventures.com/trekking/gokyo-lake-trekking/,10509,6089,internal,776,343,,,,,
8020,https://everpeakadventures.com/trekking/annapurna-circuit-trek/,8964,8961,internal,692,690,,,,,
8024,https://everpeakadventures.com/trekking/gokyo-lake-trekking/,14886,6089,internal,945,343,,,,,
8032,https://everpeakadventures.com/trekking/manaslu-circuit-trek/,14799,14133,internal,921,856,,,,,
8041,https://www.google.com/search?sca_esv=830e528a4f670b12&amp;sxsrf=APpeQnvzofO7OYVJXs-UgJ2iLxgYftxdIQ:1782007115076&amp;udm=2&amp;fbs=ABfTbFVyMZGZf1hfvX9uKjN_-G8c4u0nXx4bEIpwm1lnNH832VTJOOCxW_fyN-Q_ezyf8gIHbHEqXWbyThyPdUCKqTmZAKzBcRFb2qe3OBMfh6G5UU95rQ_0RWn,14794,,external,918,,,,,,
8042,https://everpeakadventures.com/trekking/upper-mustang-jeep-tour-12-days-standard-itinerary/,14794,14897,internal,918,947,,,,,
8043,https://everpeakadventures.com/trekking/7-day-langtang-valley-treks/,14535,8963,internal,893,691,,,,,
8044,https://www.google.com/search?sca_esv=a4157d6879dd24d7&amp;sxsrf=APpeQnt0ud5IDBP_X4Zgz77eEzj8wZqz-Q:1782349242309&amp;udm=2&amp;fbs=ABfTbFVyMZGZf1hfvX9uKjN_-G8c4u0nXx4bEIpwm1lnNH832VTJOOCxW_fyN-Q_ezyf8gLZhoVnym8adqD7lVa5VazpFlqSqjydmsVpq4dhqK4u6cS1sJEThef,14535,,external,893,,,,,,
8046,https://everpeakadventures.com/trekking/gokyo-valley-trek-14-days/,6089,14886,internal,343,945,,,,,
8048,https://everpeakadventures.com/trekking/annapurna-circuit-trek/,14105,8961,internal,834,690,,,,,
8049,https://www.google.com/search?sca_esv=adb3d433e634a8e1&amp;sxsrf=APpeQnugrqZSE94R4f0NiDJOZ2-m0qDsYA:1782908893050&amp;udm=2&amp;fbs=ABfTbFVyMZGZf1hfvX9uKjN_-G8c4u0nXx4bEIpwm1lnNH832QGGMdFXpDyzkQgEdtB8w9y513h_dJNevWM0LJgfK9j1B-ZggoDz5DeEeLSeQE37nNtIFHmRIAA,11546,,external,790,,,,,,
8050,https://everpeakadventures.com/trekking/everest-ponarama-treks/,11546,7566,internal,790,554,,,,,
8051,https://www.google.com/search?q=langtang&amp;oq=langtang&amp;gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg7MgYIAhBFGDsyBggDEEUYPDIGCAQQRRg8MgYIBRBFGDzSAQgyNDE5ajBqOagCBrACAfEFew0Gpxub_0Q&amp;sourceid=chrome&amp;ie=UTF-8,8963,,external,691,,,,,,
8052,https://everpeakadventures.com/trekking/langtang-gosainkunda-trek/,8963,6053,internal,691,331,,,,,
8056,https://everpeakadventures.com/trekking/annapurna-base-camp-trek/,8959,7561,internal,689,553,,,,,
8059,https://everpeakadventures.com/trekking/langtang-valley-yala-peak/,6053,14535,internal,331,893,,,,,
