meta_id,post_id,meta_key,meta_value
55172,6005,_edit_lock,1787417333:15
55173,6005,_edit_last,15
55177,6005,price,$749
55178,6005,duration,"6 Days"
55179,6005,destination,
55180,6005,transportation,"Private Vehicle"
55181,6005,trekking-grade,Easy
55182,6005,max-altitude,"2215 M"
55183,6005,trip-start-and-end,"Kathmandu to Chisapani/Nagarkot"
55184,6005,highlight,
55185,6005,package-include,
55186,6005,package-exclude,
55187,6005,route-map,
55188,6005,day-1,
55189,6005,description-1,
55190,6005,day-2,
55191,6005,description-2,
55192,6005,day-3,
55193,6005,description-3,
55194,6005,day-4,
55195,6005,description-4,
55196,6005,day-5,
55197,6005,description-5,
55198,6005,day-6,
55199,6005,description-6,
55200,6005,day-7,
55201,6005,description-7,
55202,6005,day-8,
55203,6005,description-8,
55204,6005,day-9,
55205,6005,description-9,
55206,6005,day-10,
55207,6005,description-10,
55208,6005,day-11,
55209,6005,description-11,
55210,6005,day-12,
55211,6005,description-12,
55212,6005,day-13,
55213,6005,description-13,
55214,6005,day-14,
55215,6005,description-14,
55216,6005,day-15,
55217,6005,description-15,
55218,6005,day-16,
55219,6005,description-16,
55220,6005,day-17,
55221,6005,description-17,
55222,6005,day-18,
55223,6005,description-18,
55224,6005,day-19,
55225,6005,description-19,
55226,6005,day-20,
55227,6005,description-20,
55228,6005,day-21,
55229,6005,description-21,
55230,6005,day-22,
55231,6005,description-22,
55232,6005,day-23,
55233,6005,description-23,
55234,6005,day-24,
55235,6005,description-24,
55236,6005,day-25,
55237,6005,description-25,
55238,6005,day-26,
55239,6005,description-26,
55240,6005,day-27,
55241,6005,description-27,
69873,6005,_thumbnail_id,14919
69874,6005,start_and_end_date,
69875,6005,rate,
98215,6005,accommodation,"Hotel/ Teahouse"
176810,6005,start_at,Kathmandu
176811,6005,best-time,"March-Jun / Oct-Jan"
176812,6005,meals-bld,B.L.D
176813,6005,activity,hiking
176814,6005,end_at,Kathmandu
176815,6005,package_include,
176816,6005,package_exclude,
176817,6005,equipment_amp_trekking_gears,
176818,6005,gallery,
176819,6005,r,
